id,month,bank_name,no_of_transactions,amt_of_transactions,active_users
188,01-05-2022,Capital Small Finance Bank,10280,19351.84,574
189,01-05-2022,Central Bank of India,14704922,2527903.01,352462
190,01-05-2022,Citi Bank,921536,738398.96,566481
191,01-05-2022,City Union Bank,736231,696514.74,104357
192,01-05-2022,Co-operative Rabobank U.A.,5474,17483.12,25
193,01-05-2022,Credit Agricole Corporate and Investment Bank,32720,106875.44,101
194,01-05-2022,DBS Bank India,480910,3179193.88,81242
195,01-05-2022,DCB Bank,162192,234876.07,20647
196,01-05-2022,Deutsche Bank AG,58389,31161.82,23733
197,01-05-2022,Dhanlaxmi Bank,83944,72598.16,14715
198,01-05-2022,ESAF Small Finance Bank,93477,28149.99,3784
199,01-05-2022,Emirates NBD Bank,194,298.54,20
200,01-05-2022,Equitas Small Finance Bank,141694,84891.99,129707
201,01-05-2022,Federal Bank,2549056,984603.62,252282
202,01-05-2022,Fincare Small Finance Bank,30771,24407.06,6054
203,01-05-2022,Fino Payments Bank,598,41.55,350
204,01-05-2022,GP Parsik Janata Co-operative Bank,41007,51693.56,6071
205,01-05-2022,HDFC Bank,52893016,40265151.09,21894571
206,01-05-2022,HSBC,9929240,36989066.01,120400
207,01-05-2022,ICICI Bank,18550126,223798767.5,4554673
208,01-05-2022,IDBI Bank,2616955,5914067.08,609375
209,01-05-2022,IDFC First Bank,3129359,5943364.83,211131
210,01-05-2022,Indian Bank,3196662,2192245.8,1221214
211,01-05-2022,Indian Overseas Bank,3124275,2222018.41,382800
212,01-05-2022,IndusInd Bank,3009567,5585359.66,508835
213,01-05-2022,Industrial Bank of Korea,1901,8265.15,95
214,01-05-2022,Industrial and Commercial Bank of China,391,5168.49,20
215,01-05-2022,Jana Small Finance Bank,20944,12947.83,6285
216,01-05-2022,Janata Co-operative Bank Pune,70750,58497.29,7116
217,01-05-2022,Karnataka Bank,340653,465252.51,31834
218,01-05-2022,Kookmin Bank,259,466.83,72
219,01-05-2022,Kotak Mahindra Bank,11884504,25711985.96,1755725
220,01-05-2022,Mahesh Co-operative Bank Pune,6949,9632.15,4535
221,01-05-2022,NKGSB Co-operative Bank,29637,20165.06,3144
222,01-05-2022,NSDL Payments Bank,29359,2122757.16,24
223,01-05-2022,Nainital Bank,10902,15595.72,1403
224,01-05-2022,New India Co-operative Bank,6248,3195.65,1953
225,01-05-2022,North East Small Finance Bank,29003,25188.15,2996
226,01-05-2022,Paytm Payments Bank,69392,16014.78,1605
227,01-05-2022,Punjab and Sind Bank,50284,96851.86,7679
228,01-05-2022,Punjab National Bank,5521483,15049064.5,817107
229,01-05-2022,RBL Bank,440537,1090201.81,99704
230,01-05-2022,SBM Bank India,2924,1485.57,8427
231,01-05-2022,SVC Co-operative Bank,121723,142953.26,30920
232,01-05-2022,Saraswat Co-operative Bank,348839,628053.38,26289
233,01-05-2022,Shivalik Small Finance Bank,16662,22396.52,1336
234,01-05-2022,Societe Generale,1404,341197.96,13
235,01-05-2022,South Indian Bank,557284,624769.49,72810
236,01-05-2022,State Bank of India,130941514,136206700.1,34221087
237,01-05-2022,Suryoday Small Finance Bank,16066,12939.12,4245
238,01-05-2022,TJSB Co-operative Bank,112202,117082.5,14400
239,01-05-2022,Tamil Nadu State Co-operative Bank,13273,35660.16,9330
